fineli_id	group_name	default	specific_tags	display_name	extra_tags	piece_weight	density_constant	example_brands	scientific_name	processing	classification	edible_portion	special_diets
788	Kycklinglever	TRUE	lever, kyckling	Kycklinglever	kycklinglevrar					Obehandlat	Organ	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LOWFAT, GLUTFREE, EGGFREE
30271	Kycklingvinge		marinerad, rå	Kycklingvingar		80				Blandat	Fåglar	100 %	SOYAFREE, NAGLUFRE, MILKFREE, LACSFREE, GLUTFREE, EGGFREE
30265	Kycklingvinge	TRUE	med skinn	Kycklingvingar	vinge av kyckling, kycklingvingar	90				Obehandlat	Fåglar	100 %	SOYAFREE, UNSWEET, NAGLUFRE, LACSFREE, MILKFREE, SALTFREE, GLUTFREE, EGGFREE
30268	Kycklingvinge		utan skinn	Kycklingvingar		75				Obehandlat	Fåglar	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LOWFAT, GLUTFREE, EGGFREE
819	Lake	TRUE		Lake					Lota lota	Obehandlat	Fisk	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, GLUTFREE, EGGFREE
8	Lakrits	TRUE		Lakrits	lakritsar					Industriellt	Sötsaker	100 %	MILKFREE, LACSFREE, LACVEGE, VEGAN, LACOVEGE, EGGFREE
28929	Lammfärs	TRUE	köttfärs, lammfärs, 14% fett	Lammfärs						Obehandlat	Lamm	100 %	SOYAFREE, UNSWEET, LOWSALT, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, GLUTFREE, EGGFREE
731	Lammkött	TRUE	fett	Lammkött	lamm					Obehandlat	Lamm	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, GLUTFREE, EGGFREE
730	Lammkött		låg fetthalt	Lammkött						Obehandlat	Lamm	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, GLUTFREE, EGGFREE
732	Lammstek	TRUE	rå	Lammstek	lammstekar					Obehandlat	Lamm	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, GLUTFREE, EGGFREE
30292	Länkkorv		innehåller ost	Länkkorv						Industriellt	Korv	100 %	SOYAFREE, NAGLUFRE, LOWCHOL, GLUTFREE, EGGFREE
30324	Länkkorv		lätt, medelvärde	Länkkorv						Industriellt	Korv	100 %	SOYAFREE, NAGLUFRE, LOWCHOL, LOWFAT, GLUTFREE, EGGFREE
30318	Länkkorv	TRUE	medelvärde	Länkkorv	länkkorvar, ostlänkklorv, ostlänkkorvar					Industriellt	Korv	100 %	NAGLUFRE, LOWCHOL, HIGHSALT, GLUTFREE, EGGFREE
910	Läskedryck	TRUE		Läskedryck	läsk, cola, fanta, sprite		1			Industriellt	Läskedrycker	100 %	SOYAFREE, NAGLUFRE, LOWPROT, MILKFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
928	Läskedryck		coladryck, medelvärde	Läskedryck			1			Industriellt	Läskedrycker	100 %	SOYAFREE, NAGLUFRE, LOWPROT, MILKFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
941	Läskedryck		coladryck light, delvis syntetiskt sötad	Läskedryck			1			Industriellt	Läskedrycker	100 %	SOYAFREE, LOWPROT, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
30224	Läskedryck		coladryck light, syntetiskt sötad	Läskedryck			1			Industriellt	Läskedrycker	100 %	SOYAFREE, NAGLUFRE, LOWPROT, LACSFREE, MILKFREE, SALTFREE, LACVEGE, VEGAN, GLUTFREE, LACOVEGE, EGGFREE
938	Läskedryck		delvis syntetiskt sötad	Läskedryck			1			Industriellt	Läskedrycker	100 %	SOYAFREE, LOWPROT, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
920	Läskedryck		sockerfri, light	Läskedryck (light)			1			Industriellt	Läskedrycker	100 %	SOYAFREE, NAGLUFRE, LOWPROT, MILKFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
